2.999999999999999334e-01	3.776776235382500735e-01	4.165311598424306538e+00	8.071740295247852259e+01
3.776776235382500735e-01	4.754679577383340017e-01	3.889692544679112185e+00	7.566307495202798350e+01
4.754679577383340017e-01	5.985786944906638096e-01	3.509520437887843958e+00	6.833757224219462501e+01
5.985786944906638096e-01	7.535659294528739283e-01	3.073531209617329285e+00	5.985155139175109440e+01
7.535659294528739283e-01	9.486832980505136570e-01	2.623421654160281058e+00	5.107901996660857691e+01
9.486832980505136570e-01	1.194321511660491941e+00	2.172936899405788047e+00	4.230349253909047036e+01
1.194321511660491941e+00	1.503561700881816954e+00	1.741264979512411104e+00	3.391358494783180788e+01
1.503561700881816954e+00	1.892872033440579749e+00	1.339443729837463959e+00	2.608974419168135839e+01
1.892872033440579749e+00	2.382984704172844470e+00	9.843803607392099808e-01	1.917511456287860483e+01
2.382984704172844470e+00	2.999999999999999556e+00	6.939114485742864380e-01	1.351649903575057010e+01
2.999999999999999556e+00	3.776776235382501845e+00	4.833936513588490413e-01	9.416792289222383872e+00
3.776776235382501845e+00	4.754679577383341460e+00	3.410258368903047455e-01	6.643471430041500980e+00
4.754679577383341460e+00	5.985786944906638318e+00	2.470665787900954702e-01	4.812643694820025075e+00
5.985786944906638318e+00	7.535659294528741725e+00	1.841999246701588044e-01	3.588260218632515208e+00
7.535659294528741725e+00	9.486832980505136348e+00	1.411118598764269094e-01	2.747053805074551658e+00
9.486832980505136348e+00	1.194321511660491808e+01	1.110720367480856063e-01	2.162633334962596798e+00
1.194321511660491808e+01	1.503561700881817309e+01	8.886221769580956997e-02	1.730496022622687091e+00
1.503561700881817309e+01	1.892872033440579571e+01	7.126642888457133951e-02	1.387820480583659144e+00
1.892872033440579571e+01	2.382984704172844914e+01	5.730607607141034038e-02	1.115949181449315208e+00
2.382984704172844914e+01	2.999999999999999645e+01	4.643298181787900575e-02	9.037340319630082774e-01
