#         patch                     x                        y                        z            
  0.0000000000000000e+00   9.8972499590170915e-01  -1.0251767289601089e-01  -9.9672259086208914e-02
  1.0000000000000000e+00   9.9028852431570136e-01  -1.2725091101843689e-01  -5.5998609389952825e-02
  2.0000000000000000e+00   9.9130304543866277e-01  -4.4986844905836737e-02  -1.2367075599934996e-01
  3.0000000000000000e+00   9.9174279699739043e-01  -2.5048108261129937e-02  -1.2577287814283225e-01
  4.0000000000000000e+00   9.9365323436009878e-01  -8.5841204489085235e-02  -7.2694824145724007e-02
  5.0000000000000000e+00   9.9620541729268552e-01  -6.0997853438948535e-02  -6.2080821777314943e-02
  6.0000000000000000e+00   9.9319612341466290e-01  -1.1476183006781379e-01  -1.9778341527336971e-02
  7.0000000000000000e+00   9.9673804117431930e-01  -7.6711547844974928e-02  -2.5072209779134796e-02
  8.0000000000000000e+00   9.9332237698068437e-01  -1.1521516641452993e-01  -6.0100596931714958e-03
  9.0000000000000000e+00   9.9409930573717442e-01  -1.0774368312789930e-01   1.2564596249092232e-02
  1.0000000000000000e+01   9.9754980008639804e-01  -6.9934430275024106e-02   1.8899231982106618e-03
  1.1000000000000000e+01   9.9918303547622533e-01  -3.7635031748061515e-02  -1.4726370966353866e-02
  1.2000000000000000e+01   9.9827450074967727e-01  -4.3470908420886890e-02   3.9475324875744032e-02
  1.3000000000000000e+01   9.9375672052044328e-01   6.6729570901681752e-03  -1.1136899058591826e-01
  1.4000000000000000e+01   9.9758659879684264e-01   8.5930285351998887e-03  -6.8899475771159083e-02
  1.5000000000000000e+01   9.9449821574353336e-01   4.9433836831730957e-02  -9.2355804685046505e-02
  1.6000000000000000e+01   9.9941481715081937e-01  -7.9459246744759664e-03  -3.3269889396599917e-02
  1.7000000000000000e+01   9.9925401099640510e-01   2.6344405350463472e-02  -2.8238162375177567e-02
  1.8000000000000000e+01   9.9870521841270887e-01   4.0658582827639941e-02  -3.0573949003549351e-02
  1.9000000000000000e+01   9.9760999127522776e-01   6.7636583892796046e-02  -1.4127909511066281e-02
  2.0000000000000000e+01   9.9995705898238763e-01  -8.4961353620438239e-03   3.7007938613091008e-03
  2.1000000000000000e+01   9.9933649234046051e-01   3.3748996669851324e-02   1.3695995781369584e-02
  2.2000000000000000e+01   9.9919995606738532e-01   1.5802917295466193e-02   3.6738475742574384e-02
  2.3000000000000000e+01   9.9578792550772410e-01   9.1590186069687496e-02  -4.2006224233520125e-03
  2.4000000000000000e+01   9.9646111125576498e-01   7.3757803229474367e-02   4.0311787577435039e-02
  2.5000000000000000e+01   9.9685871572481899e-01   5.1053782413159284e-02   6.0549254204937390e-02
  2.6000000000000000e+01   9.9443010858790648e-01   8.7417697861449095e-02   5.8880431676821603e-02
  2.7000000000000000e+01   9.8957836133844990e-01   1.0882316559928140e-01  -9.4298384926039688e-02
  2.8000000000000000e+01   9.8448719515107519e-01   1.3893259673245459e-01  -1.0715734295299625e-01
  2.9000000000000000e+01   9.9001120739484005e-01   1.3284499306996411e-01  -4.7223056326885268e-02
  3.0000000000000000e+01   9.7473941307009415e-01   1.8727787072838348e-01  -1.2169665460977749e-01
  3.1000000000000000e+01   9.7865704568239043e-01   1.9219227054234733e-01  -7.2749694707212181e-02
  3.2000000000000000e+01   9.8298971811433244e-01   1.8078057238018777e-01  -3.2397511191397360e-02
  3.3000000000000000e+01   9.9138464894788070e-01   1.2949661776249313e-01   1.9674954093016186e-02
  3.4000000000000000e+01   9.9073778537884272e-01   1.2312842360503359e-01   5.7254099618855157e-02
