#         patch                     x                        y                        z            
  0.0000000000000000e+00   9.9736590984943485e-01  -6.9321447999698790e-02  -2.1348974622543961e-02
  1.0000000000000000e+00   9.9525799881025523e-01   4.8392113369141961e-02  -8.4378428332566521e-02
  2.0000000000000000e+00   9.9820950561333432e-01   5.8011575591191751e-02   1.4575321629733714e-02
  3.0000000000000000e+00   9.8332319738963714e-01   1.4882722930790687e-01  -1.0452724664867419e-01
  4.0000000000000000e+00   9.4769867257176121e-01   3.0127172838589339e-01  -1.0536874148009101e-01
  5.0000000000000000e+00   9.6885620862168009e-01   2.4751414132112529e-01  -7.3754227871634321e-03
  6.0000000000000000e+00   9.5343745148871428e-01   2.9875118205603973e-01   4.1288706916354959e-02
  7.0000000000000000e+00   9.1505809447807851e-01   3.9855493252898089e-01  -6.1827578692422357e-02
  8.0000000000000000e+00   8.6460934857397798e-01   4.9879595122291825e-01  -6.0442314665352152e-02
  9.0000000000000000e+00   9.3360852371790659e-01   3.5753729320927630e-01   2.3285368922462676e-02
  1.0000000000000000e+01   8.9111216106997249e-01   4.5338481342132164e-01   1.9008612577372654e-02
  1.1000000000000000e+01   8.1470974638523197e-01   5.6790654326191892e-01  -1.1717588175562878e-01
  1.2000000000000000e+01   8.2119303735397287e-01   5.6752079309434522e-01  -5.9683706377217934e-02
  1.3000000000000000e+01   8.1771421822032420e-01   5.7555343912145884e-01   9.0385859394614618e-03
  1.4000000000000000e+01   7.5851705610427467e-01   6.5156015801108635e-01   1.1010726200973752e-02
