#         patch                     x                        y                        z            
  0.0000000000000000e+00   9.9252309183392884e-01  -9.1766587264668201e-02  -8.0478603605023749e-02
  1.0000000000000000e+00   9.9043335001406574e-01  -1.2028857900633716e-01  -6.7619796957335110e-02
  2.0000000000000000e+00   9.9130304543866277e-01  -4.4986844905836737e-02  -1.2367075599934996e-01
  3.0000000000000000e+00   9.9130389208082148e-01  -1.2953984304342489e-01  -2.3152162095577352e-02
  4.0000000000000000e+00   9.9345915587783451e-01  -1.1281523957011867e-01  -1.7652969247057521e-02
  5.0000000000000000e+00   9.9776962131970548e-01  -6.4654598694409482e-02  -1.6600169854453631e-02
  6.0000000000000000e+00   9.9929219615546960e-01  -2.7767304477518490e-02  -2.5378800303236835e-02
  7.0000000000000000e+00   9.9210314396251909e-01  -8.9740943081223542e-03  -1.2510322686099826e-01
  8.0000000000000000e+00   9.9046882162880445e-01   6.5930633289704527e-02  -1.2093248105974726e-01
  9.0000000000000000e+00   9.9867275944068634e-01   2.6704581608220684e-02  -4.4040718343993625e-02
  1.0000000000000000e+01   9.9941760378356426e-01   3.2445709027009557e-02  -1.0570204030831606e-02
  1.1000000000000000e+01   9.9774881291679385e-01   6.4977053688553943e-02  -1.6591829829270991e-02
  1.2000000000000000e+01   9.9783551860199549e-01   4.5561101217776227e-02   4.7417969928184707e-02
  1.3000000000000000e+01   9.8554666394971280e-01   1.2902321284250357e-01  -1.0977606171379055e-01
  1.4000000000000000e+01   9.8942517761433690e-01   1.2385396366020628e-01  -7.5485187874803614e-02
  1.5000000000000000e+01   9.8914296286403325e-01   1.4384483654032210e-01  -3.0080924474654866e-02
  1.6000000000000000e+01   9.9489620944735113e-01   8.9637262892955427e-02   4.6332424157945723e-02
  1.7000000000000000e+01   9.9204847669900376e-01   1.2413623089269196e-01   2.0736828565207487e-02
  1.8000000000000000e+01   9.8575644735385848e-01   1.6768843620376395e-01   1.2838024140644382e-02
  1.9000000000000000e+01   9.8229271300830068e-01   1.7933407488212580e-01   5.4224676642320238e-02
  2.0000000000000000e+01   9.7411212226851418e-01   2.0705051311003086e-01  -9.0750527659096428e-02
  2.1000000000000000e+01   9.6589956874275029e-01   2.4179592871400934e-01  -9.2589156816004881e-02
  2.2000000000000000e+01   9.5743895969814630e-01   2.7421737926144468e-01  -9.0085888812378667e-02
  2.3000000000000000e+01   9.8007207959698173e-01   1.9591428564848745e-01  -3.2807186305601581e-02
  2.4000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  2.5000000000000000e+01   9.6850350510917993e-01   2.4560221326569331e-01   4.0994065792817544e-02
  2.6000000000000000e+01   9.2262332157504956e-01   3.7071167323823562e-01  -1.0648503092327220e-01
  2.7000000000000000e+01   9.1467120564994220e-01   4.0004359560744496e-01  -5.7807500969582662e-02
  2.8000000000000000e+01   8.9325218360473768e-01   4.4593364408098535e-01  -5.6953679091180487e-02
  2.9000000000000000e+01   9.5098472025799696e-01   3.0879052141108904e-01  -1.6627559125952981e-02
  3.0000000000000000e+01   9.4528435877986716e-01   3.2203979298554442e-01   5.2228850073146288e-02
  3.1000000000000000e+01   9.0727748970116151e-01   4.1974027059025487e-01  -2.5800424926316068e-02
  3.2000000000000000e+01   8.8608175257767130e-01   4.6306704427400863e-01  -2.0689133771519874e-02
  3.3000000000000000e+01   8.3071881641722012e-01   5.4645635425320560e-01  -1.0626241549422907e-01
  3.4000000000000000e+01   8.6615547028284356e-01   4.9646953330898363e-01  -5.7382086011806437e-02
  3.5000000000000000e+01   8.5033899533875812e-01   5.2389489499127218e-01  -4.9575518235876893e-02
  3.6000000000000000e+01   8.8371804168648671e-01   4.6721893039276569e-01   2.7365925535983059e-02
  3.7000000000000000e+01   8.5108110661377312e-01   5.2455279889335771e-01  -2.2479126722811972e-02
  3.8000000000000000e+01   8.3839267179222288e-01   5.4419139286361784e-01  -3.0878079899073863e-02
  3.9000000000000000e+01   8.2339732243571484e-01   5.6733617529748137e-01  -1.2104280421448722e-02
  4.0000000000000000e+01   8.2237607871003582e-01   5.6892834967218964e-01  -4.2565367123696060e-03
  4.1000000000000000e+01   8.1310228182446520e-01   5.8203247707157291e-01  -1.0142727728617462e-02
  4.2000000000000000e+01   7.7619823783006237e-01   6.2841457654330302e-01  -5.1102011481028276e-02
  4.3000000000000000e+01   7.5719681600979960e-01   6.5155803650098398e-01  -4.6098881717501233e-02
  4.4000000000000000e+01   7.6452251768486301e-01   6.4450020585454504e-01  -1.1171598195750728e-02
  4.5000000000000000e+01   8.1954741725292080e-01   5.7297418488070240e-01   6.5279655606801561e-03
  4.6000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  4.7000000000000000e+01   8.0995185973105133e-01   5.8646475047595914e-01   6.0894472148438549e-03
  4.8000000000000000e+01   7.8467621451733960e-01   6.1866447591407558e-01   3.9211026672359379e-02
  4.9000000000000000e+01   7.6569697659633695e-01   6.4282135055692835e-01   2.2109981894958063e-02
